기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
(사)남북교류협력지원협회,기타공공기관,https://www.sonosa.or.kr/,https://sonosa.or.kr/?menuno=12,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
(재)예술경영지원센터,기타공공기관,http://www.gokams.or.kr/,https://www.gokams.or.kr:443/01_news/notice_list.aspx,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,5,5,0,5,0,0,2,,,,,아니오,2026-09-26 09:29:41
(재)우체국금융개발원,준정부기관(위탁집행형),https://www.posid.or.kr/,https://www.posid.or.kr/business/realname_list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,6,0,0,0,,,,,아니오,2026-09-26 09:29:41
(재)우체국물류지원단,준정부기관(위탁집행형),http://www.pola.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
(재)우체국시설관리단,기타공공기관,http://www.poma.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
(재)일제강제동원피해자지원재단,기타공공기관,https://www.fomo.or.kr/,https://www.fomo.or.kr/kor/article/ATCL8a5c4c5fb/1221?mno=&pageIndex=1&searchCondition=&searchKeyword=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
(재)축산환경관리원,기타공공기관,https://www.lemi.or.kr/,https://www.lemi.or.kr/board.do?boardno=24&menuno=71,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
(재)한국보건의료정보원,기타공공기관,https://www.khis.kr/,https://www.khis.kr/board.es?mid=a10301000000&bid=0001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,6,6,0,6,0,3,1,,,,,아니오,2026-09-26 09:29:41
(재)한국우편사업진흥원,기타공공기관,https://www.posa.or.kr/,https://www.posa.or.kr/portal/bbs/B0000008/list.do?menuNo=200020,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
(재)한국통계정보원,기타공공기관,https://www.kosii.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
(재)한국통계진흥원,기타공공기관,https://www.stat.or.kr/,https://www.stat.or.kr/community/news.php?admin_mode=read&amp;no=77&amp;make=&amp;search=&amp;notice_type=&amp;page=1,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
(주)강원랜드,공기업(시장형),https://kangwonland.high1.com/,https://kangwonland.high1.com/kangwonland/selectBbsNttList.do?bbsNo=8&key=86,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
(주)공영홈쇼핑,기타공공기관,https://www.gongyoung.kr/,https://www.gongyoung.kr/bbsList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
(주)한국가스기술공사,공기업(준시장형),https://www.kogas-tech.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
88관광개발(주),기타공공기관,https://www.88countryclub.co.kr/,https://www.88countryclub.co.kr/Board/BoardList.aspx?cfgid=notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,1,,,,,아니오,2026-09-26 09:29:41
KDI국제정책대학원,기타공공기관,https://www.kdischool.ac.kr/,https://www.kdischool.ac.kr/news/,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
가덕도신공항건설공단,기타공공기관,https://www.g-airport.or.kr/,https://www.g-airport.or.kr/kor/bbsctt/list.do?key=2409020035,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
가축위생방역지원본부,기타공공기관,https://www.lhca.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
강원대학교병원,기타공공기관,https://www.knuh.or.kr/,https://www.knuh.or.kr/healthinfor/healthinfor_02_list.asp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
강원대학교치과병원,기타공공기관,http://www.knudh.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
건강보험심사평가원,준정부기관(위탁집행형),https://www.hira.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
건설근로자공제회,기타공공기관,https://www.cw.or.kr/,https://www.cw.or.kr/board.do?boardConfigNo=29&menuNo=266&action=view&boardNo=34214,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,4,4,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
건축공간연구원,기타공공기관,https://www.auri.re.kr/,https://www.auri.re.kr/board.es?mid=a10401010000&bid=0001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,4,4,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
게임물관리위원회,기타공공기관,https://www.grac.or.kr/,https://www.grac.or.kr/board/Inform.aspx,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
경북대학교병원,기타공공기관,http://knuh.kr/,https://knuh.kr/index.asp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,1,,,,,아니오,2026-09-26 09:29:41
경북대학교치과병원,기타공공기관,https://www.knudh.kr/,https://www.knudh.kr/index.php,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
경상국립대학교병원,기타공공기관,http://www.gnuh.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
경제인문사회연구회,기타공공기관,https://www.nrc.re.kr/,https://www.nrc.re.kr/board.es?mid=a12101000000&bid=0001,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,4,4,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
공간정보산업진흥원,기타공공기관,https://www.spacen.or.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
공간정보품질관리원,기타공공기관,https://www.siqms.or.kr/,https://www.siqms.or.kr/M2001000/board.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
공무원연금공단,준정부기관(기금관리형),https://www.geps.or.kr/,https://www.geps.or.kr/main,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,5,0,0,1,,,,,아니오,2026-09-26 09:29:41
과학기술사업화진흥원,기타공공기관,https://www.compa.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
과학기술정책연구원,기타공공기관,https://www.stepi.re.kr/,https://www.stepi.re.kr/site/stepiko/ex/bbs/subJectList.do?cbIdx=1227,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
국가과학기술인력개발원,기타공공기관,https://www.kird.re.kr/,https://www.kird.re.kr/notificationSpace/notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
국가생명윤리정책원,기타공공기관,https://nibp.kr/,https://nibp.kr/board/notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,6,6,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
국가수리과학연구소,기타공공기관,http://www.nims.re.kr/,https://www.nims.re.kr/promote/post/news,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
국가아동권리보장원,기타공공기관,https://www.ncrc.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
국가유산진흥원,기타공공기관,https://www.kh.or.kr/,https://www.kh.or.kr/brd/board/684/L/CATEGORY/686/menu/291?brdCodeField=CATEGORY&brdCodeValue=686,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,3,,,,,아니오,2026-09-26 09:29:41
